







【狂飙】,#genre#
第三十三集,https://hd.lz-cdn18.com/20230129/247_61a22a1f/2000k/hls/mixed.m3u8
第三十四集,https://vip.lzcdn2.com/20230130/23690_ec7e6c19/1800k/hls/mixed.m3u8
第三十五集,https://vip.lzcdn2.com/20230130/23689_605a61b6/1800k/hls/mixed.m3u8
第三十六集,https://hd.lz-cdn18.com/20230131/297_cc76dd2f/2000k/hls/mixed.m3u8
第三十七集,https://hd.lz-cdn18.com/20230131/296_f35955e8/2000k/hls/mixed.m3u8
第三十八集,https://vip.lzcdn2.com/20230201/23716_c10840ec/1800k/hls/mixed.m3u8
第三十九集,https://vip.lzcdn2.com/20230201/23715_44218045/1800k/hls/mixed.m3u8



【雪豹全集】,#genre#

雪豹第1集,https://vd4.bdstatic.com/mda-mgbq1hv00k64n4im/576p/cae_h264/1656502280174577238/mda-mgbq1hv00k64n4im.mp4?auth_key=1665745487-0-0-c55e842a62942b38a18ca8cca703b7f0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2086976999&vid=10644908443488980988&abtest=all
雪豹第2集,https://vd4.bdstatic.com/mda-mgmnr4t4nb2nmxy8/sc/mda-mgmnr4t4nb2nmxy8.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745728-0-0-ae461a9eb6141fd2ce1b05b3cb19c454&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2328272815&vid=2174829666274060825&abtest=104960_1-104959_2&klogid=2328272815
雪豹第3集,https://vd2.bdstatic.com/mda-mgbq1hygum3vdxer/sc/mda-mgbq1hygum3vdxer.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745732-0-0-f4148471bc3290cb39321de9ff7cfcd9&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2332869631&vid=5492103383855942880&abtest=104960_1-104959_2&klogid=2332869631
雪豹第4集,https://vd3.bdstatic.com/mda-mgbq1i0yfeuknks4/sc/mda-mgbq1i0yfeuknks4.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745781-0-0-e63579e114eef35f739c098ba9064bc4&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2381802931&vid=11163900122286975114&abtest=104960_1-104959_2&klogid=2381802931
雪豹第5集,https://vd2.bdstatic.com/mda-mgmnr4v2dv3gdx2d/sc/mda-mgmnr4v2dv3gdx2d.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745793-0-0-4ed0bda398f9f51657ad49b82d8d4244&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2393188187&vid=11662209268262758146&abtest=104960_1-104959_2&klogid=2393188187
雪豹第6集,https://vd3.bdstatic.com/mda-mgbq1i4m3p46g7ue/sc/mda-mgbq1i4m3p46g7ue.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745820-0-0-14f7a4d37de1c94a60bee625c5737cd3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2420699142&vid=10691929192957465634&abtest=104960_1-104959_2&klogid=2420699142
雪豹第7集,https://vd3.bdstatic.com/mda-mgbq1i65pat1hdrj/sc/mda-mgbq1i65pat1hdrj.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745831-0-0-aab4e120efda8c70d0497bf879dfb099&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2430982090&vid=13849043372436041171&abtest=104960_1-104959_2&klogid=2430982090
雪豹第8集,https://vd2.bdstatic.com/mda-mgbq1i7xmdxua9vf/sc/mda-mgbq1i7xmdxua9vf.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745849-0-0-f98f528a7e6601ecd746894470db44fa&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2448877502&vid=6472850838532285599&abtest=104960_1-104959_2&klogid=2448877502
雪豹第9集,https://vd4.bdstatic.com/mda-mgmnr4wy0wzju4sc/sc/mda-mgmnr4wy0wzju4sc.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745866-0-0-8a748608520d4c74f71c7a529f5e607b&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2466239506&vid=3945779904426156552&abtest=104960_1-104959_2&klogid=2466239506
雪豹第10集,https://vd2.bdstatic.com/mda-mgbq1ibxuvj0m5a4/sc/mda-mgbq1ibxuvj0m5a4.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665745881-0-0-55f8a71b677caec04827ae171d65c2ee&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2481127616&vid=15755832036940392790&abtest=104960_1-104959_2&klogid=2481127616
雪豹第11集,https://vd2.bdstatic.com/mda-mgbq1idnqvc29z9v/sc/mda-mgbq1idnqvc29z9v.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836259-0-0-4a54941b1ef969225fc2065ff58a160f&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2858957365&vid=11700620960763471929&abtest=104959_1&klogid=2858957365
雪豹第12集,https://vd2.bdstatic.com/mda-mgbq1ifhutryhd37/sc/mda-mgbq1ifhutryhd37.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836259-0-0-3d9c138058e71630d2c5593653bb709f&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2859445126&vid=1609454386609682553&abtest=104959_1&klogid=2859445126
雪豹第13集,https://vd4.bdstatic.com/mda-mgbq1ihw94afjbzk/sc/mda-mgbq1ihw94afjbzk.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836301-0-0-f94b0049661eec0844f1ce57aa502773&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2901305567&vid=5695339614458090635&abtest=104959_1&klogid=2901305567
雪豹第14集,https://vd3.bdstatic.com/mda-mgbq1ijptyicuhbj/sc/mda-mgbq1ijptyicuhbj.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836315-0-0-944b62de38bc07f12ca82689de649383&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2915895316&vid=12100751143449227997&abtest=104959_1&klogid=2915895316
雪豹第15集,https://vd2.bdstatic.com/mda-mgbq1imgar7r73xv/sc/mda-mgbq1imgar7r73xv.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836327-0-0-66cbbfced4942994bf2059699a3d4ad0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2927114229&vid=16859985197510187096&abtest=104959_1&klogid=2927114229
雪豹第16集,https://vd3.bdstatic.com/mda-mgbq1ipv9zx7a6qs/sc/mda-mgbq1ipv9zx7a6qs.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836338-0-0-21102dcc9e3afef9c00366c3a7eab12d&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2938510986&vid=11700655006639408781&abtest=104959_1&klogid=2938510986
雪豹第17集,https://vd3.bdstatic.com/mda-mgbq1irff1557dh8/sc/mda-mgbq1irff1557dh8.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836349-0-0-8b6c3532f81184ede85bbd30b1fcf0f2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2949295635&vid=11476746442933392641&abtest=104959_1&klogid=2949295635
雪豹第18集,https://vd4.bdstatic.com/mda-mgbq1it24b94asew/sc/mda-mgbq1it24b94asew.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836362-0-0-3819446a91e387771f5cc118522afd09&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2962532821&vid=5594433550338357478&abtest=104959_1&klogid=2962532821
雪豹第19集,https://vd3.bdstatic.com/mda-mgbq1iupb72sgj55/sc/mda-mgbq1iupb72sgj55.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836378-0-0-44b12b533ebd4936bec1f352ece3644e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2978688433&vid=9263411352523599021&abtest=104959_1&klogid=2978688433
雪豹第20集,https://vd2.bdstatic.com/mda-mgmnr4z0ga1j12qr/sc/mda-mgmnr4z0ga1j12qr.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836387-0-0-041f33df1ea14aa420683caa3fd5bc5a&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=2987628310&vid=6239663918024567509&abtest=104959_1&klogid=2987628310
雪豹第21集,https://vd3.bdstatic.com/mda-mgbq1ixw72tz3ssw/sc/mda-mgbq1ixw72tz3ssw.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836409-0-0-1846649ee57f6a95af31dc6e3e8a07a5&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3009660284&vid=2566516887946500174&abtest=104959_1&klogid=3009660284
雪豹第22集,https://vd2.bdstatic.com/mda-mgbq1izmm4f840f3/sc/mda-mgbq1izmm4f840f3.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836427-0-0-eeda444a331550370f7dfa953efce3a8&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3027760878&vid=1435816040567796510&abtest=104959_1&klogid=3027760878
雪豹第23集,https://vd2.bdstatic.com/mda-mgbq1j1ayfpnzmca/sc/mda-mgbq1j1ayfpnzmca.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836437-0-0-25ba90edf4d2d24ff634275580d45464&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3037726200&vid=3394320272602998066&abtest=104959_1&klogid=3037726200
雪豹第24集,https://vd4.bdstatic.com/mda-mgbq1j3fh2i3rcwu/sc/mda-mgbq1j3fh2i3rcwu.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836447-0-0-5b5897ee86ee89a0a2acdc96ca52dd08&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3047298538&vid=13054406898728241108&abtest=104959_1&klogid=3047298538
雪豹第25集,https://vd4.bdstatic.com/mda-mgbq1j5y6ubab1xd/sc/mda-mgbq1j5y6ubab1xd.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836454-0-0-16c93b33518b95828ff6839c11746f32&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3053996848&vid=5571509134895461515&abtest=104959_1&klogid=3053996848
雪豹第26集,https://vd3.bdstatic.com/mda-mgbq1j7uvktstvun/sc/mda-mgbq1j7uvktstvun.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836464-0-0-f8ba9d6100f7469e51228cc7a593016c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3064112931&vid=914750315694852814&abtest=104959_1&klogid=3064112931
雪豹第27集,https://vd2.bdstatic.com/mda-mgbq1j9vrzbusrvc/sc/mda-mgbq1j9vrzbusrvc.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836471-0-0-50ef3d378cec1a8e788f95d4de7ffc8e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3071811063&vid=7235145403375033230&abtest=104959_1&klogid=3071811063
雪豹第28集,https://vd3.bdstatic.com/mda-mgbq1jbv2dqx012c/sc/mda-mgbq1jbv2dqx012c.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836488-0-0-1014ac6c992b8f5c04ac8c6df6cef0f5&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3088113676&vid=6275085484005114411&abtest=104959_1&klogid=3088113676
雪豹第29集,https://vd3.bdstatic.com/mda-mgbq1jdst5azsf8s/sc/mda-mgbq1jdst5azsf8s.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836497-0-0-1ab9edf525eab71da4a320a4fe42b8db&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3097481387&vid=11487787528714247264&abtest=104959_1&klogid=3097481387
雪豹第30集,https://vd2.bdstatic.com/mda-mgmnr50k45jnfakp/sc/mda-mgmnr50k45jnfakp.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836506-0-0-965e4c981b5045b09decd9b4d4093824&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3106631915&vid=7418776420791498096&abtest=104959_1&klogid=3106631915
雪豹第31集,https://vd3.bdstatic.com/mda-mgmnr52ck9rsq0fg/sc/mda-mgmnr52ck9rsq0fg.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836524-0-0-5d9d6a39761da2d784a2b2a4f532910c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3124874466&vid=11028940559860037871&abtest=104959_1&klogid=3124874466
雪豹第32集,https://vd4.bdstatic.com/mda-mgbq1jj8yg9dicr3/sc/mda-mgbq1jj8yg9dicr3.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836533-0-0-479ff131bdfda34feeb3609b23ed4043&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3133742479&vid=11746334607580818622&abtest=104959_1&klogid=3133742479
雪豹第33集,https://vd2.bdstatic.com/mda-mgmnr541dgm8gp05/sc/mda-mgmnr541dgm8gp05.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836541-0-0-086fe59c4eaa9c96615c8ac5d8e280f6&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3140945040&vid=15146796833944706579&abtest=104959_1&klogid=3140945040
雪豹第34集,https://vd2.bdstatic.com/mda-mgntxr5bzt9tp8br/sc/mda-mgntxr5bzt9tp8br.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836550-0-0-e2a6787ccaed20551474febb4e475bee&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3150771737&vid=14320785401039646139&abtest=104959_1&klogid=3150771737
雪豹第35集,https://vd4.bdstatic.com/mda-mgbq1jqrnx23yce6/sc/mda-mgbq1jqrnx23yce6.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836559-0-0-2a319bddd915eabd4e069a3414919167&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3159721079&vid=9685433661030045515&abtest=104959_1&klogid=3159721079
雪豹第36集,https://vd4.bdstatic.com/mda-mgbq1jsm9tjcp48r/sc/mda-mgbq1jsm9tjcp48r.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836572-0-0-f2a05a829f373b1f2fc9317abfa77889&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3171985312&vid=13104750227205578112&abtest=104959_1&klogid=3171985312
雪豹第37集,https://vd4.bdstatic.com/mda-mgbq1jv2cvpx3ns1/sc/mda-mgbq1jv2cvpx3ns1.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836585-0-0-5668eb8c5b6d34f0203ae3513fa539c2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3185544606&vid=9194399359900428102&abtest=104959_1&klogid=3185544606
雪豹第38集,https://vd4.bdstatic.com/mda-mgmnr57yzivzgspt/sc/mda-mgmnr57yzivzgspt.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836594-0-0-6b36023d2ed739bb22ba3cbd320b89e0&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3194326770&vid=3749952206427108985&abtest=104959_1&klogid=3194326770
雪豹第39集,https://vd4.bdstatic.com/mda-mgbq1jyncw4bgkpr/sc/mda-mgbq1jyncw4bgkpr.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836603-0-0-1e7bafcda996a1226e71cec3f28cbe6e&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3203762975&vid=3060284986004934298&abtest=104959_1&klogid=3203762975
雪豹第40集,https://vd4.bdstatic.com/mda-mgbq1k0rw2w6e3sq/sc/mda-mgbq1k0rw2w6e3sq.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836613-0-0-cfc94b3185ae0ed28a3e3277d52eadc9&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3213272609&vid=2491091557721202208&abtest=104959_1&klogid=3213272609
雪豹第41集,https://vd4.bdstatic.com/mda-mgbq1k2mh87tvz8c/sc/mda-mgbq1k2mh87tvz8c.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836624-0-0-a7cfe4ed90e32681ab9a398c60ad44e3&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3224231363&vid=11031674194734412905&abtest=104959_1&klogid=3224231363
雪豹第42集,https://vd4.bdstatic.com/mda-mgbq1k4v8jpbwrnw/sc/mda-mgbq1k4v8jpbwrnw.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836633-0-0-2b47b9a9446b5b88cbe96da85d9ffaac&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3233500123&vid=11004326370832302138&abtest=104959_1&klogid=3233500123
雪豹第43集,https://vd4.bdstatic.com/mda-mgbq1k6daxj4qmny/sc/mda-mgbq1k6daxj4qmny.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836642-0-0-e92576e15f4480bcc829cc18b257557c&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3241913694&vid=5611862727737489185&abtest=104959_1&klogid=3241913694
雪豹第44集,https://vd2.bdstatic.com/mda-mgbq1k89f4sw6bp2/sc/mda-mgbq1k89f4sw6bp2.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836651-0-0-ba8dbd885f73cf50c3de2677dfb910f2&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3251670861&vid=6631472288340837086&abtest=104959_1&klogid=3251670861
雪豹第45集,https://vd2.bdstatic.com/mda-mgbq1kae1v657w18/sc/mda-mgbq1kae1v657w18.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836667-0-0-bb47a57ae3d4dc9d5e57bbd2ff576095&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3266935576&vid=7790174952894289779&abtest=104959_1&klogid=3266935576
雪豹第46集,https://vd3.bdstatic.com/mda-mgbq1kc94zxnr34q/sc/mda-mgbq1kc94zxnr34q.mp4?v_from_s=hkapp-haokan-suzhou&auth_key=1665836682-0-0-10b9b15accd3d55335895752e12da662&bcevod_channel=searchbox_feed&cd=0&pd=1&pt=3&logid=3282540932&vid=11279680855552210591&abtest=104959_1&klogid=3282540932




【央视频道】,#genre#
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225501/index.m3u8?fmt=ts2hls
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225642/index.m3u8
CCTV1[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225762/index.m3u8
CCTV1[1920*1080],http://39.134.67.226/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920*1080],http://39.134.67.7:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1[1920*1080],http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920*1080],http://39.135.137.205/PLTV/88888888/224/3221225816/1.m3u8
CCTV1[1920*1080],http://39.134.67.110/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1280*720],http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV-1,http://111.40.196.25/PLTV/88888888/224/3221225548/index.m3u8
CCTV1[1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel13/1080p.m3u8
CCTV1[1920*1080],http://39.134.66.48/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920*1080],http://39.134.67.99/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920*1080],http://39.134.65.181/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920*1080],http://39.134.65.179/PLTV/88888888/224/3221225816/index.m3u8
CCTV1[1920*1080],http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV1[1920*1080],http://39.134.65.151/PLTV/88888888/224/3221225816/1.m3u8
CCTV1[1920*1080],http://39.134.65.143/PLTV/88888888/224/3221225816/1.m3u8
CCTV1[1920*1080],http://39.134.65.142/PLTV/88888888/224/3221225816/index.m3u8

CCTV2[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV2[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225619/index.m3u8
CCTV2[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225500/index.m3u8?fmt=ts2hls
CCTV2[1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8codeyj
CCTV2[1920*1080],http://222.240.82.92:9901/tsfile/live/0002_1.m3u8

CCTV3[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225634/index.m3u8

CCTV4[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8

CCTV5[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8

CCTV5+[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225706/index.m3u8

CCTV6[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225650/index.m3u8

CCTV7[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225644/index.m3u8

CCTV8[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225635/index.m3u8

CCTV9[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225646/index.m3u8

CCTV10[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225636/index.m3u8

CCTV11[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225628/index.m3u8

CCTV12[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225637/index.m3u8

CCTV13[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225638/index.m3u8

CCTV14[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225640/index.m3u8

CCTV15[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225641/index.m3u8

CCTV16[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226233/index.m3u8
CCTV16[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221226230/index.m3u8
CCTV16[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226233/index.m3u8
CCTV16[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221226232/index.m3u8?fmt=ts2hls

CCTV17[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225909/index.m3u8
CCTV17[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225908/index.m3u8
CCTV17[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225907/index.m3u8



CCTV13[1920*1080],https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV5+[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225649/index.m3u8
CCTV14[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225639/index.m3u8
CCTV6[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225632/index.m3u8
CCTV8[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225631/index.m3u8
CCTV11[1920*1080],http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225628/index.m3u8
